Order ID;Order Key;Returned Indicator;Ship Mode;Order Priority
AG-2014-HF49953-41706;57;Not Returned;First Class;Medium
AG-2014-KE64203-41801;58;Not Returned;Standard Class;Medium
AG-2014-LW71253-41983;59;Not Returned;First Class;High
AG-2014-ML73953-41674;60;Not Returned;Standard Class;Medium
AG-2014-NF85953-41830;61;Not Returned;Second Class;High
AG-2014-RB96453-41894;62;Not Returned;First Class;Critical
AG-2014-RD95853-41712;63;Returned;Standard Class;High
AG-2014-RD95853-41875;64;Not Returned;Standard Class;Medium
AG-2014-SK99903-41881;65;Not Returned;Second Class;High
AG-2015-AC4203-42065;66;Not Returned;Standard Class;Medium
AG-2015-AM3603-42179;67;Not Returned;Same Day;Critical
AG-2015-AR5703-42075;68;Not Returned;Standard Class;High
AG-2015-BD16053-42094;69;Not Returned;Second Class;High
AG-2015-CA23103-42033;70;Not Returned;Standard Class;Medium
AG-2015-CC21003-42309;71;Not Returned;Second Class;Medium
AG-2015-CC22203-42259;72;Not Returned;Second Class;Medium
AG-2015-CD27903-42236;73;Not Returned;Standard Class;High
AG-2015-CL25653-42164;74;Not Returned;Standard Class;High
AG-2015-CR27303-42005;75;Not Returned;Standard Class;High
AG-2015-CR28203-42151;76;Not Returned;Second Class;Critical
AG-2015-CR28203-42314;77;Not Returned;First Class;High
AG-2015-DK32253-42304;78;Not Returned;Second Class;Medium
AG-2015-DL28653-42167;79;Not Returned;Standard Class;Medium
AG-2015-DR29403-42326;80;Not Returned;Second Class;Medium
AG-2015-DS31803-42046;81;Not Returned;Standard Class;Low
AG-2015-HR48303-42221;82;Not Returned;Standard Class;Medium
AG-2015-IL51003-42028;83;Not Returned;Second Class;Medium
AG-2015-JE54753-42005;84;Not Returned;Standard Class;High
AG-2015-JG51603-42028;85;Not Returned;Standard Class;Low
AG-2015-JL58353-42315;86;Not Returned;First Class;High
AG-2015-JO55503-42070;87;Not Returned;Standard Class;Medium
AG-2015-LD68553-42230;88;Not Returned;Standard Class;Medium
AG-2015-MO78003-42217;89;Not Returned;Second Class;Medium
AG-2015-MS79803-42363;90;Not Returned;Standard Class;Medium
AG-2015-PO88653-42017;91;Not Returned;First Class;Critical
AG-2015-RC99603-42185;92;Not Returned;Standard Class;High
AG-2015-RD96603-42342;93;Not Returned;Standard Class;Medium
AG-2015-RD99303-42208;94;Not Returned;Standard Class;Medium
AG-2015-RO97803-42365;95;Not Returned;Standard Class;Medium
AG-2015-RS94203-42167;96;Not Returned;Second Class;Medium
AG-2015-SB101703-42026;97;Not Returned;Standard Class;Medium
AG-2015-SL101553-42144;98;Not Returned;Standard Class;Medium
AG-2015-TB112503-42368;99;Not Returned;Second Class;Medium
AG-2015-YS118803-42365;100;Not Returned;Standard Class;Medium
AJ-2012-CM19359-40962;101;Not Returned;Same Day;Medium
AJ-2012-JH58209-41272;102;Not Returned;Standard Class;Medium
AJ-2012-RP92709-41165;103;Not Returned;Standard Class;Medium
AJ-2012-TC109809-41067;104;Not Returned;Same Day;Critical
AJ-2013-GM46809-41542;105;Not Returned;Standard Class;Medium
AJ-2013-SG108909-41580;106;Returned;First Class;High
AJ-2014-CA23109-41865;107;Not Returned;Same Day;Medium
AJ-2014-DC32859-41646;108;Not Returned;Standard Class;Medium
AJ-2014-GZ45459-41649;109;Not Returned;Second Class;High
AJ-2014-JL58359-41662;110;Not Returned;Standard Class;High
AJ-2014-JR57009-41792;111;Not Returned;Second Class;High
AJ-2014-NC83409-41858;112;Not Returned;Second Class;High
AJ-2015-DJ34209-42368;113;Not Returned;Same Day;High
AJ-2015-DR28809-42365;114;Not Returned;Standard Class;Medium
AJ-2015-GG46509-42246;115;Not Returned;Second Class;Medium
AJ-2015-GM44409-42059;116;Not Returned;Standard Class;Medium
AJ-2015-LW68259-42300;117;Not Returned;Standard Class;High
AJ-2015-MS73659-42258;118;Not Returned;Standard Class;Medium
AJ-2015-RD97209-42260;119;Not Returned;Standard Class;Medium
AJ-2015-SH99759-42263;120;Not Returned;Second Class;High
AL-2012-EM38252-41213;121;Returned;Standard Class;Medium
AL-2012-MC81302-41220;122;Not Returned;Second Class;High
AL-2012-SC102302-40970;123;Returned;Second Class;High
AL-2013-JD58952-41383;124;Not Returned;Standard Class;Medium
AL-2013-JD60152-41483;125;Not Returned;Standard Class;Medium
AL-2013-ML73952-41388;126;Not Returned;Standard Class;Medium
AL-2014-GA45152-41749;127;Not Returned;Same Day;Critical
AL-2014-NC85352-41993;128;Not Returned;Standard Class;Medium
AL-2014-TT114602-41863;129;Not Returned;First Class;Critical
AL-2015-JB59252-42073;130;Not Returned;Second Class;High
AM-2012-HM49806-41256;131;Not Returned;Standard Class;High
AM-2014-MG76956-41746;132;Not Returned;Standard Class;Low
AO-2012-AA4804-41080;133;Not Returned;Standard Class;Medium
AO-2012-BS18004-41191;134;Not Returned;Standard Class;High
AO-2012-DK31504-40940;135;Not Returned;Second Class;Critical
AO-2012-GK46204-40914;136;Not Returned;Standard Class;Medium
AO-2012-HZ49504-40916;137;Not Returned;Standard Class;High
AO-2012-JK53704-41257;138;Not Returned;Standard Class;High
AO-2012-MA79954-40928;139;Not Returned;Same Day;High
AO-2012-RO97804-41105;140;Not Returned;Standard Class;High
AO-2012-RP98554-41247;141;Not Returned;Standard Class;Medium
AO-2012-SW104554-40942;142;Not Returned;Standard Class;Low
AO-2013-CA23104-41495;143;Not Returned;Standard Class;Medium
AO-2013-CC24754-41612;144;Not Returned;Standard Class;Medium
AO-2013-DH30754-41593;145;Not Returned;Standard Class;Medium
AO-2013-DK32254-41611;146;Not Returned;Standard Class;Medium
AO-2013-DL34954-41296;147;Not Returned;First Class;Medium
AO-2013-HJ48754-41546;148;Not Returned;Second Class;Medium
AO-2013-JC53404-41476;149;Not Returned;First Class;Medium
AO-2013-JE57454-41544;150;Returned;Standard Class;Medium
AO-2013-LH69004-41590;151;Not Returned;Same Day;High
AO-2013-MG82054-41438;152;Not Returned;Standard Class;Medium
AO-2013-MO75004-41537;153;Not Returned;Standard Class;High
AO-2013-RD95854-41628;154;Not Returned;Standard Class;Medium
AO-2013-SF102004-41628;155;Returned;Standard Class;Medium
AO-2014-AS2854-41795;156;Not Returned;Standard Class;High
AO-2014-BP12904-42000;157;Not Returned;Second Class;High
AO-2014-CM26554-41726;158;Not Returned;Standard Class;High
AO-2014-CW19054-41942;159;Not Returned;Second Class;Medium
AO-2014-GM45004-41979;160;Not Returned;Standard Class;Medium
AO-2014-HG48454-41863;161;Not Returned;Standard Class;Medium
AO-2014-IG50854-41937;162;Not Returned;Second Class;High
AO-2014-JH59854-42004;163;Not Returned;First Class;Medium
AO-2014-JK60904-41787;164;Not Returned;Standard Class;High
AO-2014-JP54604-41983;165;Not Returned;Standard Class;Medium
AO-2014-LC69604-41957;166;Not Returned;Standard Class;High
AO-2014-LW71254-41964;167;Not Returned;Standard Class;Medium
AO-2014-MM79204-41956;168;Not Returned;Standard Class;Medium
AO-2014-RE94054-41983;169;Not Returned;Standard Class;Medium
AO-2014-SC103054-41942;170;Not Returned;Standard Class;Medium
AO-2015-AH5854-42151;171;Not Returned;Second Class;Medium
AO-2015-AJ9454-42231;172;Not Returned;Standard Class;Medium
AO-2015-AZ7504-42241;173;Not Returned;Standard Class;Medium
AO-2015-BD17254-42152;174;Not Returned;Standard Class;Low
AO-2015-BE14554-42223;175;Not Returned;Second Class;Medium
AO-2015-DC28504-42054;176;Not Returned;Standard Class;Medium
AO-2015-DR29404-42330;177;Not Returned;Standard Class;Medium
AO-2015-DV34654-42326;178;Not Returned;First Class;High
AO-2015-EP39154-42294;179;Not Returned;Second Class;High
AO-2015-GM45004-42265;180;Not Returned;Standard Class;Low
AO-2015-JF54154-42272;181;Not Returned;Standard Class;Medium
AO-2015-JM56554-42247;182;Not Returned;Second Class;High
AO-2015-KD63454-42312;183;Not Returned;Standard Class;High
AO-2015-KL66454-42369;184;Not Returned;Standard Class;High
AO-2015-LC69304-42258;185;Not Returned;Same Day;High
AO-2015-LC70504-42144;186;Not Returned;Standard Class;Medium
AO-2015-LM70654-42314;187;Not Returned;Standard Class;Medium
AO-2015-RM93754-42348;188;Not Returned;Standard Class;Medium
AO-2015-RW95404-42343;189;Not Returned;Standard Class;Medium
AO-2015-SC100204-42105;190;Not Returned;Second Class;High
AO-2015-SK99904-42017;191;Not Returned;Standard Class;Medium
AO-2015-TB113554-42106;192;Not Returned;Standard Class;High
AU-2012-AG6758-41153;193;Not Returned;Same Day;Critical
AU-2012-BS15908-41018;194;Not Returned;Second Class;Medium
AU-2012-DS30308-41138;195;Not Returned;Standard Class;Medium
AU-2012-JL51308-41118;196;Not Returned;Standard Class;Medium
AU-2012-LR70358-40995;197;Not Returned;Standard Class;Medium
AU-2012-PM89408-41033;198;Not Returned;Second Class;Medium
AU-2013-AM3608-41630;199;Not Returned;Standard Class;Medium
AU-2013-EH41858-41436;200;Not Returned;Standard Class;Medium
AU-2013-GM45008-41576;201;Not Returned;First Class;Medium
AU-2013-LA67808-41471;202;Not Returned;Standard Class;Medium
AU-2013-LB67958-41437;203;Not Returned;Standard Class;Medium
AU-2013-SK99908-41376;204;Not Returned;Second Class;High
AU-2013-SV108158-41629;205;Not Returned;First Class;Medium
AU-2014-AC6158-41908;206;Not Returned;Same Day;High
AU-2014-AG4958-41825;207;Not Returned;Standard Class;Medium
AU-2014-AH5858-41744;208;Not Returned;Standard Class;High
AU-2014-CK23258-41934;209;Not Returned;Standard Class;Medium
AU-2014-JM55808-41726;210;Not Returned;Standard Class;Medium
AU-2014-LE68108-41712;211;Not Returned;Standard Class;Medium
AU-2014-MO75008-41871;212;Not Returned;First Class;Medium
AU-2014-SN107108-41724;213;Not Returned;Second Class;High
AU-2015-AG7658-42255;214;Not Returned;Standard Class;High
AU-2015-BT16808-42187;215;Not Returned;Second Class;Medium
AU-2015-CA19658-42242;216;Not Returned;Standard Class;Medium
AU-2015-DA34508-42355;217;Not Returned;Standard Class;Medium
AU-2015-DD35708-42089;218;Not Returned;Second Class;Medium
AU-2015-DH36758-42052;219;Not Returned;Second Class;High
AU-2015-EB39758-42334;220;Not Returned;Standard Class;Medium
AU-2015-FM42158-42250;221;Not Returned;Standard Class;Medium
AU-2015-GB45308-42199;222;Not Returned;First Class;High
AU-2015-MD78608-42243;223;Not Returned;Standard Class;High
AU-2015-MK79058-42220;224;Not Returned;Standard Class;Medium
AU-2015-PF91208-42181;225;Not Returned;Second Class;Medium
AU-2015-SU106658-42083;226;Not Returned;Standard Class;Medium
BA-2014-ES408010-41902;227;Not Returned;Second Class;Medium
BK-2012-EB375017-41244;228;Not Returned;Standard Class;High
BK-2013-CM265517-41354;229;Not Returned;Standard Class;High
BK-2013-NW840017-41492;230;Not Returned;Second Class;High
BK-2014-GT471017-41811;231;Not Returned;Standard Class;Medium
BK-2015-ME732017-42236;232;Not Returned;Standard Class;Low
BK-2015-ML775517-42343;233;Not Returned;Standard Class;Medium
BK-2015-PG882017-42047;234;Not Returned;Same Day;Medium
BK-2015-RS987017-42046;235;Not Returned;Standard Class;High
BN-2012-BS159015-41026;236;Not Returned;Standard Class;High
BN-2012-DO343515-41172;237;Not Returned;Standard Class;High
BN-2012-JK520515-41172;238;Not Returned;First Class;High
BN-2012-NB865515-40937;239;Not Returned;Standard Class;Medium
BN-2012-RW963015-41216;240;Returned;Standard Class;Medium
BN-2013-AA37515-41380;241;Not Returned;Standard Class;Medium
BN-2013-AS22515-41597;242;Not Returned;Standard Class;Medium
BN-2013-CC267015-41454;243;Not Returned;Standard Class;Medium
BN-2013-HZ495015-41524;244;Not Returned;First Class;Critical
BN-2014-BP109515-42003;245;Not Returned;Standard Class;High
BN-2014-CY274515-41877;246;Not Returned;Second Class;High
BN-2014-KB631515-41904;247;Returned;Standard Class;Medium
BN-2014-KD649515-41971;248;Not Returned;First Class;High
BN-2014-SW1045515-41853;249;Not Returned;Second Class;Medium
BN-2015-AS1009015-42348;250;Not Returned;Standard Class;High
BN-2015-GH441015-42072;251;Not Returned;Same Day;Medium
BN-2015-MB730515-42168;252;Not Returned;Second Class;Medium
BN-2015-PF916515-42335;253;Not Returned;Standard Class;Medium
BN-2015-RS942015-42158;254;Not Returned;Second Class;Medium
BN-2015-TB1135515-42063;255;Not Returned;Standard Class;Medium
BN-2015-TH1111515-42045;256;Not Returned;Standard Class;Medium
BN-2015-TP1156515-42266;257;Not Returned;Standard Class;Medium
BN-2015-TS1143015-42251;258;Not Returned;Standard Class;Medium
BO-2012-DK283513-41149;259;Not Returned;Standard Class;Medium
BO-2012-ES402013-41147;260;Not Returned;Standard Class;Medium
BO-2012-RB957013-41233;261;Not Returned;Second Class;Medium
BO-2012-SS1059013-41132;262;Not Returned;Second Class;Critical
BO-2013-AM70513-41478;263;Not Returned;Standard Class;Low
BO-2013-BT130513-41305;264;Not Returned;Standard Class;Medium
BO-2013-CS217513-41523;265;Not Returned;First Class;High
BO-2013-DJ363013-41361;266;Not Returned;Standard Class;High
BO-2013-GH441013-41502;267;Not Returned;Standard Class;High
BO-2013-JK573013-41528;268;Not Returned;Standard Class;Medium
BO-2013-LC714013-41622;269;Not Returned;Standard Class;Medium
BO-2013-MM828013-41437;270;Not Returned;Same Day;High
BO-2013-NR855013-41433;271;Not Returned;Standard Class;Medium
BO-2013-TZ1144513-41508;272;Not Returned;Standard Class;Medium
BO-2014-AF87013-41815;273;Not Returned;Second Class;Medium
BO-2014-HW493513-41837;274;Not Returned;Second Class;Critical
BO-2014-KB624013-41951;275;Not Returned;Standard Class;Medium
BO-2014-KH636013-41859;276;Returned;Standard Class;High
BO-2014-ML826513-41984;277;Not Returned;Standard Class;Low
BO-2014-PJ883513-41949;278;Not Returned;Second Class;Critical
BO-2014-PO918013-41829;279;Not Returned;Second Class;Medium
BO-2014-RD966013-41958;280;Not Returned;Same Day;High
BO-2015-AA31513-42160;281;Not Returned;Second Class;Medium
BO-2015-CD279013-42161;282;Not Returned;Standard Class;High
BO-2015-DB291013-42014;283;Not Returned;Standard Class;Medium
BO-2015-DL331513-42266;284;Not Returned;Second Class;High
BO-2015-DS303013-42042;285;Not Returned;Standard Class;Medium
BO-2015-EB411013-42349;286;Not Returned;Same Day;Medium
BO-2015-JF549013-42255;287;Not Returned;Standard Class;Low
BO-2015-KA652513-42276;288;Not Returned;Standard Class;Medium
BO-2015-LC705013-42363;289;Not Returned;Second Class;Critical
BO-2015-ME732013-42181;290;Not Returned;Second Class;High
BO-2015-ML741013-42200;291;Not Returned;Standard Class;Medium
BO-2015-MS798013-42091;292;Returned;Second Class;Medium
BO-2015-MZ733513-42046;293;Not Returned;Second Class;High
BO-2015-PB910513-42158;294;Not Returned;Standard Class;Medium
BO-2015-PB915013-42172;295;Not Returned;First Class;Medium
BO-2015-TC1114513-42180;296;Not Returned;Standard Class;Medium
BO-2015-TS1165513-42065;297;Not Returned;Second Class;Medium
BO-2015-TW1102513-42193;298;Not Returned;Standard Class;Low
BO-2015-TW1102513-42224;299;Not Returned;First Class;High
BO-2015-VG1179013-42222;300;Not Returned;Standard Class;Medium
BU-2012-DE325519-41219;301;Not Returned;Second Class;Medium
BU-2012-EH394519-41265;302;Returned;Standard Class;Medium
BU-2012-HR477019-41114;303;Not Returned;Standard Class;Low
BU-2012-ME772519-41126;304;Not Returned;Second Class;Critical
BU-2012-VS1182019-41038;305;Not Returned;Standard Class;Medium
BU-2013-AH1003019-41476;306;Not Returned;Standard Class;Medium
BU-2013-EK379519-41593;307;Not Returned;Same Day;High
BU-2013-JC534019-41598;308;Not Returned;First Class;High
BU-2013-JD579019-41552;309;Not Returned;Standard Class;Medium
BU-2013-JO528019-41426;310;Not Returned;Second Class;High
BU-2013-MH745519-41520;311;Not Returned;Standard Class;Medium
BU-2013-MT807019-41605;312;Not Returned;Standard Class;Low
BU-2013-PC874519-41579;313;Not Returned;Standard Class;Medium
BU-2013-PF912019-41472;314;Not Returned;First Class;High
BU-2013-RD972019-41296;315;Not Returned;Second Class;High
BU-2013-RH955519-41523;316;Not Returned;First Class;High
BU-2013-RM937519-41445;317;Not Returned;Standard Class;Medium
BU-2014-AS24019-41871;318;Not Returned;Standard Class;High
BU-2014-CM265519-41731;319;Not Returned;First Class;Critical
BU-2014-CS186019-41993;320;Returned;First Class;High
BU-2014-DH367519-41891;321;Not Returned;Standard Class;Medium
BU-2014-JK537019-41893;322;Not Returned;Standard Class;Medium
BU-2014-LF718519-41948;323;Not Returned;Second Class;High
BU-2014-LF718519-41990;324;Not Returned;First Class;Medium
BU-2014-MH745519-41670;325;Returned;Standard Class;High
BU-2014-PB921019-41962;326;Not Returned;Second Class;High
BU-2014-PC874519-41954;327;Not Returned;First Class;Medium
BU-2014-RE940519-41865;328;Not Returned;First Class;Critical
BU-2014-TH1110019-41954;329;Not Returned;Standard Class;Medium
BU-2014-TT1122019-41840;330;Not Returned;Standard Class;Medium
BU-2014-VT1170019-41796;331;Not Returned;Standard Class;Medium
BU-2015-BD162019-42225;332;Not Returned;First Class;High
BU-2015-CA226519-42162;333;Not Returned;Standard Class;Medium
BU-2015-CC247519-42314;334;Not Returned;Standard Class;Medium
BU-2015-CJ187519-42255;335;Not Returned;Standard Class;High
BU-2015-DP310519-42193;336;Not Returned;Same Day;Critical
BU-2015-GD459019-42017;337;Not Returned;Same Day;Medium
BU-2015-JL513019-42172;338;Not Returned;Second Class;Medium
BU-2015-KM637519-42048;339;Not Returned;Standard Class;Medium
BU-2015-LH715519-42122;340;Not Returned;Second Class;High
BU-2015-MH802519-42064;341;Not Returned;Standard Class;Medium
BY-2012-MV748520-41031;342;Not Returned;Standard Class;High
BY-2013-KA652520-41592;343;Not Returned;Standard Class;Medium
CA-2012-AA10315140-40998;344;Not Returned;Standard Class;Medium
CA-2012-AA10315140-41166;345;Not Returned;Standard Class;Medium
CA-2012-AA10375140-41019;346;Not Returned;Standard Class;Medium
CA-2012-AA10375140-41205;347;Not Returned;Standard Class;Medium
CA-2012-AA10480140-41032;348;Not Returned;Same Day;High
CA-2012-AA10645140-41081;349;Not Returned;Standard Class;High
CA-2012-AA10645140-41243;350;Not Returned;First Class;High
CA-2012-AB10015140-40958;351;Not Returned;Standard Class;Low
CA-2012-AB10015140-40974;352;Not Returned;First Class;High
CA-2012-AB10105140-41262;353;Not Returned;First Class;Medium
CA-2012-AB10150140-40972;354;Not Returned;Second Class;Medium
CA-2012-AB10255140-41111;355;Not Returned;Standard Class;Medium
CA-2012-AB10600140-41230;356;Not Returned;Standard Class;Low
CA-2012-AC10420140-41101;357;Not Returned;Standard Class;High
CA-2012-AD10180140-41231;358;Not Returned;Second Class;Medium
CA-2012-AF10885140-41038;359;Not Returned;Second Class;Medium
CA-2012-AF10885140-41163;360;Not Returned;Standard Class;Medium
CA-2012-AG10270140-41041;361;Not Returned;Second Class;Medium
CA-2012-AG10270140-41112;362;Not Returned;First Class;Critical
CA-2012-AG10300140-41024;363;Not Returned;Standard Class;Low
CA-2012-AG10390140-41017;364;Not Returned;Second Class;Medium
CA-2012-AG10390140-41154;365;Not Returned;Same Day;Critical
CA-2012-AG10525140-41129;366;Not Returned;Standard Class;Low
CA-2012-AG10525140-41153;367;Returned;Standard Class;Medium
CA-2012-AH10030140-41020;368;Not Returned;Second Class;Critical
CA-2012-AH10030140-41041;369;Not Returned;Standard Class;Medium
CA-2012-AH10030140-41273;370;Not Returned;First Class;High
CA-2012-AH10075140-41228;371;Not Returned;Standard Class;Medium
CA-2012-AH10120140-41107;372;Not Returned;Same Day;High
CA-2012-AH10210140-41241;373;Not Returned;Standard Class;Medium
CA-2012-AH10585140-41207;374;Not Returned;Second Class;Medium
CA-2012-AH10690140-41000;375;Not Returned;Standard Class;Medium
CA-2012-AH19523-41129;376;Not Returned;Standard Class;Medium
CA-2012-AI10855140-41026;377;Not Returned;First Class;High
CA-2012-AI10855140-41038;378;Not Returned;Standard Class;Medium
CA-2012-AI10855140-41271;379;Not Returned;Standard Class;Medium
CA-2012-AJ10780140-40919;380;Not Returned;Standard Class;Medium
CA-2012-AJ10780140-41212;381;Returned;Second Class;Critical
CA-2012-AJ10780140-41270;382;Not Returned;Standard Class;Medium
CA-2012-AJ10795140-41042;383;Not Returned;Standard Class;Medium
CA-2012-AJ10795140-41271;384;Not Returned;Standard Class;High
CA-2012-AJ10945140-40970;385;Not Returned;Second Class;Medium
CA-2012-AJ10960140-41165;386;Not Returned;Standard Class;Medium
CA-2012-AJ10960140-41272;387;Not Returned;Standard Class;Medium
CA-2012-AM10360140-41187;388;Not Returned;Second Class;Critical
CA-2012-AM10705140-41212;389;Not Returned;Second Class;Medium
CA-2012-AP10720140-40970;390;Not Returned;Standard Class;High
CA-2012-AP10915140-41143;391;Not Returned;Standard Class;Medium
CA-2012-AP10915140-41180;392;Not Returned;Standard Class;High
CA-2012-AP10915140-41205;393;Not Returned;Same Day;Critical
CA-2012-AP10915140-41223;394;Not Returned;Standard Class;Low
CA-2012-AR10405140-41184;395;Not Returned;Second Class;Medium
CA-2012-AR10510140-41030;396;Not Returned;Same Day;High
CA-2012-AR10540140-41237;397;Not Returned;Second Class;High
CA-2012-AR10825140-41089;398;Not Returned;Second Class;Medium
CA-2012-AS10090140-41173;399;Not Returned;Standard Class;Medium
CA-2012-AS10090140-41266;400;Not Returned;First Class;High
CA-2012-AS10225140-41199;401;Not Returned;Second Class;Medium
CA-2012-AS10240140-40982;402;Not Returned;Standard Class;High
CA-2012-AS10240140-41192;403;Not Returned;Standard Class;Medium
CA-2012-AS10630140-41121;404;Not Returned;Standard Class;High
CA-2012-AS10630140-41249;405;Not Returned;Standard Class;Medium
CA-2012-AS24023-41172;406;Not Returned;Second Class;Medium
CA-2012-AT10435140-41236;407;Not Returned;Standard Class;Medium
CA-2012-AT10435140-41269;408;Not Returned;Second Class;High
CA-2012-AT10735140-41150;409;Not Returned;Standard Class;Medium
CA-2012-AT10735140-41215;410;Not Returned;Standard Class;Medium
CA-2012-AY10555140-41004;411;Not Returned;Standard Class;Medium
CA-2012-AY10555140-41268;412;Not Returned;Standard Class;Medium
CA-2012-AZ10750140-40984;413;Not Returned;Same Day;High
CA-2012-AZ10750140-40992;414;Returned;Standard Class;Medium
CA-2012-BB10990140-41116;415;Not Returned;Second Class;Medium
CA-2012-BC11125140-41095;416;Not Returned;Standard Class;Low
CA-2012-BC11125140-41164;417;Not Returned;Standard Class;High
CA-2012-BD11500140-40941;418;Not Returned;First Class;High
CA-2012-BD11605140-40922;419;Not Returned;Standard Class;High
CA-2012-BD11620140-41089;420;Not Returned;Same Day;Medium
CA-2012-BD11635140-41186;421;Not Returned;Second Class;Medium
CA-2012-BF10975140-41103;422;Not Returned;Second Class;Medium
CA-2012-BF10975140-41121;423;Not Returned;Standard Class;Medium
CA-2012-BF11005140-41176;424;Not Returned;Standard Class;Medium
CA-2012-BF11020140-40955;425;Not Returned;Standard Class;Medium
CA-2012-BF11080140-41240;426;Not Returned;Standard Class;Medium
CA-2012-BF11170140-41011;427;Not Returned;Standard Class;Medium
CA-2012-BF11170140-41101;428;Not Returned;Standard Class;High
CA-2012-BF11215140-41221;429;Not Returned;Standard Class;Medium
CA-2012-BF11275140-40989;430;Not Returned;Standard Class;Medium
CA-2012-BG11035140-41248;431;Not Returned;Standard Class;High
CA-2012-BG11695140-41039;432;Not Returned;Standard Class;Medium
CA-2012-BG11740140-40990;433;Not Returned;First Class;Medium
CA-2012-BH11710140-41068;434;Not Returned;Standard Class;Medium
CA-2012-BK11260140-41123;435;Not Returned;Standard Class;Medium
CA-2012-BM11140140-41159;436;Not Returned;Standard Class;Medium
CA-2012-BM11650140-41098;437;Not Returned;Standard Class;Medium
CA-2012-BM11650140-41172;438;Not Returned;First Class;High
CA-2012-BM11785140-41065;439;Not Returned;First Class;High
CA-2012-BM11785140-41153;440;Not Returned;Standard Class;Medium
CA-2012-BM11785140-41256;441;Not Returned;Standard Class;Medium
CA-2012-BM165023-41216;442;Not Returned;Second Class;Medium
CA-2012-BN11470140-41163;443;Not Returned;Standard Class;Medium
CA-2012-BN11515140-40984;444;Not Returned;Standard Class;Medium
CA-2012-BN11515140-41168;445;Not Returned;Standard Class;Medium
CA-2012-BP11095140-41190;446;Not Returned;Standard Class;Medium
CA-2012-BP11095140-41219;447;Not Returned;First Class;Medium
